NOMBRE|CARGO|OPCION O SIGLA|CODIGO GEOGRAFIA|CANDIDATO O GANADORLUIS ALBERTO ARCE CATACORA|PRESIDENTE|undefined|undefined|ELECTO
JUAN JOSE JAUREGUI URURI|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
CELIA SALAZAR QUISPE|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
QUINTIN VILLAZON GARNICA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
PEDRO FRANCISCO CORO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ADRIANA TARIFA CONDORI|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
HIGINIO FARFAN ABAN|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
GLADYS CHUMACERO VASQUEZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ISRAEL HUAYTARI MARTINEZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
DELFOR GERMAN BURGOS AGUIRRE|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
LIDIA TUPA ZELAYA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
PATRICIO MENDOZA CHUMPE|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
DEISY JUDITH CHOQUE ARNEZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
TANIA ROSMERY PANIAGUA MAFAILE|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
HERNAN HINOJOSA ROJAS|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
VICENTE CONDORI RODRIGUEZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
DANNY DANIEL ROJAS MONTES DE OCA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ALEIDA JOSEFF TELLEZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
MARIA JOSE RODRIGUEZ GALVEZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ROY SUAREZ MEDINA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
WALTER PABLO ARIZAGA RUIZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
LILY GLADYS FERNANDEZ VARGAS|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ALBERTO VLADIMIR ASTORGA TORREZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
MIGUEL ANTONIO ROCA SANCHEZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
INGVAR ELLEFSEN DOTZAUER|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
CESAR AUGUSTO VIRGUETTI PINTO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
JUAN JOSE TORREZ FLORES|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
MONICA SOFIA TORRES CAMPUZANO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
EDWIN ROSAS URZAGASTE|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
MARIELA BALDIVIESO CASTILLO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
KEYLA ORTIZ DORADO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
WALTHY MAURICIO EGUEZ PAZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
JOSE CARLOS GUTIERREZ VARGAS|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ALBA MOIRA OSINAGA RIVERO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
ROSA TATIANA AÑEZ CARRASCO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
OMAR JESUS RUEDA GUTIERREZ|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
OSCAR CHARLES MICHEL FLORES|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
RUNY ELVIO CALLAU MONASTERIO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
MARIA RENE ALVAREZ CAMACHO|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
FERNANDO LLAPIZ HOENTSCH|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
LEONARDO FABIAN AYALA SORIA|DIPUTADOS (AS) UNINOMINAL|undefined|undefined|ELECTO
